year,team_name,team_id,opponent_name,opponent_id,game_date,team_score,opponent_score,location,neutral_site_location,game_length,attendance
2015,Academy of Art,30123,Cal St. San B'dino,93,09/04/2014,1,4,Home,"",-,30
2015,Academy of Art,30123,Cal St. East Bay,98,09/06/2014,4,0,Home,"",-,60
2015,Academy of Art,30123,Chico St.,95,09/12/2014,0,2,Away,"",-,532
2015,Academy of Art,30123,Humboldt St.,291,09/14/2014,1,2,Neutral,"Chico, CA",-,32
2015,Academy of Art,30123,Sonoma St.,645,09/18/2014,1,5,Away,"",-,389
2015,Academy of Art,30123,Cal St. Stanislaus,103,09/20/2014,2,1,Home,"",-,178
2015,Academy of Art,30123,Hawaii Pacific,2696,09/25/2014,1,4,Home,"",-,27
2015,Academy of Art,30123,Hawaii Hilo,2697,09/27/2014,3,0,Home,"",-,56
2015,Academy of Art,30123,Dominican (CA),30118,10/04/2014,2,0,Home,"",-,40
2015,Academy of Art,30123,Fresno Pacific,30147,10/09/2014,1,2,Away,"",-,203
2015,Academy of Art,30123,California Baptist,30135,10/16/2014,2,3,Away,"",-,128
2015,Academy of Art,30123,Point Loma,30149,10/18/2014,0,1,Away,"",-,204
2015,Academy of Art,30123,BYU-Hawaii,2685,10/23/2014,0,3,Home,"",-,38
2015,Academy of Art,30123,Chaminade,133,10/25/2014,5,0,Home,"",-,102
2015,Academy of Art,30123,Azusa Pacific,30146,10/30/2014,0,3,Away,"",-,231
2015,Academy of Art,30123,Dixie St.,30095,11/01/2014,2,1,Away,"",-,74
2015,Academy of Art,30123,Holy Names,30175,11/06/2014,3,2,Away,"",-,45
2015,Academy of Art,30123,Notre Dame de Namur,30056,11/08/2014,1,2,Home,"",-,104
2015,Adams St.,929,Eastern N.M.,206,09/04/2014,1,0,Home,"",1 OT,120
2015,Adams St.,929,Tex. Permian Basin,30088,09/12/2014,1,2,Home,"",1 OT,47
2015,Adams St.,929,West Tex. A&M,767,09/14/2014,0,5,Home,"",-,73
2015,Adams St.,929,Fort Lewis,1083,09/17/2014,0,2,Home,"",-,96
2015,Adams St.,929,Colo. Christian,11403,09/19/2014,1,2,Away,"",-,137
2015,Adams St.,929,Regis (CO),568,09/26/2014,0,3,Home,"",-,68
2015,Adams St.,929,Colorado Mesa,11416,09/28/2014,1,2,Home,"",-,45
2015,Adams St.,929,Fort Lewis,1083,10/03/2014,1,4,Away,"",-,97
2015,Adams St.,929,UC-Colo. Springs,9754,10/05/2014,0,4,Away,"",-,237
2015,Adams St.,929,Colorado Mines,155,10/10/2014,1,3,Home,"",-,83
2015,Adams St.,929,Metro St.,413,10/12/2014,1,2,Home,"",1 OT,45
2015,Adams St.,929,Regis (CO),568,10/17/2014,1,4,Away,"",-,312
2015,Adams St.,929,Colorado St.-Pueblo,2720,10/19/2014,0,3,Away,"",-,83
2015,Adams St.,929,Colo. Christian,11403,10/24/2014,1,2,Home,"",-,35
2015,Adams St.,929,Colorado Mesa,11416,10/26/2014,0,3,Away,"",-,418
2015,Adams St.,929,Colorado St.-Pueblo,2720,10/31/2014,0,1,Home,"",-,35
2015,Adams St.,929,Colorado Mines,155,11/02/2014,0,7,Away,"",-,273
2015,Adelphi,3,Mercy,407,09/04/2014,4,2,Home,"",-,78
2015,Adelphi,3,LIU Post,362,09/06/2014,0,5,Home,"",-,121
2015,Adelphi,3,Molloy,437,09/13/2014,2,0,Away,"",-,200
2015,Adelphi,3,American Int'l,22,09/16/2014,2,1,Away,"",2 OT,100
2015,Adelphi,3,Stonehill,682,09/20/2014,5,2,Home,"",-,189
2015,Adelphi,3,Le Moyne,349,09/24/2014,1,2,Home,"",-,98
2015,Adelphi,3,Southern N.H.,468,09/27/2014,1,3,Away,"",-,368
2015,Adelphi,3,Saint Rose,1347,09/30/2014,2,1,Away,"",-,110
2015,Adelphi,3,St. Anselm,593,10/04/2014,0,1,Home,"",1 OT,126
2015,Adelphi,3,Assumption,36,10/08/2014,2,0,Home,"",-,174
2015,Adelphi,3,Saint Michael's,613,10/11/2014,3,2,Away,"",1 OT,137
2015,Adelphi,3,New Haven,470,10/14/2014,6,1,Away,"",-,109
2015,Adelphi,3,Franklin Pierce,241,10/18/2014,2,0,Home,"",-,163
2015,Adelphi,3,Dowling,2692,10/22/2014,0,0,Away,"",2 OT,50
2015,Adelphi,3,Bentley,56,10/25/2014,0,1,Away,"",1 OT,145
2015,Adelphi,3,Southern Conn. St.,658,10/28/2014,1,0,Home,"",-,204
2015,Adelphi,3,Merrimack,410,10/31/2014,3,2,Away,"",-,175
2015,Adelphi,3,Le Moyne,349,11/04/2014,2,1,Home,"",-,222
2015,Adelphi,3,Southern Conn. St.,658,11/07/2014,1,2,Away,"",-,150
2015,Adrian,4,Heidelberg,278,08/30/2014,2,6,Home,"",-,50
2015,Adrian,4,Augustana (IL),40,08/31/2014,0,3,Home,"",-,50
