year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2017	12440	1	721	Air Force	-	TEAM	-	-	-	""	""	0	""	21	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	-	Totals	-	-	-	2	2	6	28	22	1	2	""	""	""	11,514	5	2.345	12	0.706	""	""	""	""	""	12	""	""
2017	12440	1	721	Air Force	-	Opponent Totals	-	-	-	5	4	14	35	31	""	4	""	""	""	11,514	2	0.938	9	0.818	""	""	""	""	""	15	""	""
2017	12440	1	5	Akron	-	TEAM	-	-	-	""	""	0	""	31	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	5	Akron	-	Totals	-	-	-	2	2	6	48	31	1	1	""	""	""	16,200	1	0.333	12	0.923	2	""	""	""	""	22	""	""
2017	12440	1	5	Akron	-	Opponent Totals	-	-	-	1	""	2	31	29	""	6	""	""	""	16,200	2	0.667	15	0.882	1	""	""	""	1	10	1	""
2017	12440	1	14	Albany (NY)	-	TEAM	-	-	-	""	""	0	""	38	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	1	14	Albany (NY)	-	Totals	-	-	-	3	3	9	37	38	""	2	""	""	""	17,400	5	1.552	14	0.737	1	""	""	""	""	13	""	""
2017	12440	1	14	Albany (NY)	-	Opponent Totals	-	-	-	5	2	12	33	43	""	8	""	""	""	17,400	3	0.931	12	0.800	1	""	""	""	""	6	""	""
2017	12440	1	23	American	-	TEAM	-	-	-	""	""	0	""	37	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	23	American	-	Totals	-	-	-	5	4	14	55	37	""	6	""	""	""	18,600	4	1.161	11	0.733	""	""	""	""	""	27	""	""
2017	12440	1	23	American	-	Opponent Totals	-	-	-	4	2	10	34	47	""	6	""	""	""	18,600	5	1.452	26	0.839	""	""	""	""	2	16	2	""
2017	12440	1	27	Appalachian St.	-	TEAM	-	-	-	""	""	0	""	15	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	27	Appalachian St.	-	Totals	-	-	-	1	1	3	14	15	""	1	""	""	""	10,800	4	2.000	9	0.692	""	""	""	""	""	5	""	""
2017	12440	1	27	Appalachian St.	-	Opponent Totals	-	-	-	4	7	15	26	23	""	2	""	""	""	10,800	1	0.500	4	0.800	1	""	""	""	""	8	""	""
2017	12440	1	725	Army West Point	-	TEAM	-	-	-	""	""	0	""	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	725	Army West Point	-	Totals	-	-	-	5	3	13	37	19	""	4	""	""	""	10,800	4	2.000	5	0.556	""	""	""	""	""	9	""	""
2017	12440	1	725	Army West Point	-	Opponent Totals	-	-	-	4	5	13	21	26	1	3	""	""	""	10,800	5	2.500	12	0.706	""	""	""	""	""	5	""	""
2017	12440	1	14927	Belmont	-	TEAM	-	-	-	""	""	0	""	23	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	14927	Belmont	-	Totals	-	-	-	4	1	9	30	23	""	3	""	""	""	11,041	3	1.467	12	0.800	""	""	""	""	1	9	1	""
2017	12440	1	14927	Belmont	-	Opponent Totals	-	-	-	3	""	6	32	29	""	3	""	""	""	11,041	4	1.956	10	0.714	""	""	""	""	1	11	1	""
2017	12440	1	62	Binghamton	-	TEAM	-	-	-	""	""	0	""	42	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	62	Binghamton	-	Totals	-	-	-	4	4	12	40	42	""	4	""	""	""	18,600	3	0.871	9	0.750	1	""	""	""	""	12	""	""
2017	12440	1	62	Binghamton	-	Opponent Totals	-	-	-	3	3	9	39	39	""	1	""	""	""	18,600	4	1.161	18	0.818	1	""	""	""	1	13	1	""
2017	12440	1	67	Boston College	-	TEAM	-	-	-	""	""	0	""	38	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	67	Boston College	-	Totals	-	-	-	6	5	17	54	38	""	5	""	""	""	16,200	4	1.333	9	0.692	1	""	""	""	""	28	""	""
2017	12440	1	67	Boston College	-	Opponent Totals	-	-	-	4	3	11	22	34	1	5	""	""	""	16,200	6	2.000	18	0.750	""	""	""	""	""	9	""	""
2017	12440	1	68	Boston U.	-	TEAM	-	-	-	""	""	0	""	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	68	Boston U.	-	Totals	-	-	-	2	2	6	9	14	1	1	""	""	""	5,400	3	3.000	5	0.625	""	""	""	""	""	4	""	""
2017	12440	1	68	Boston U.	-	Opponent Totals	-	-	-	3	2	8	17	14	""	2	""	""	""	5,400	2	2.000	2	0.500	""	""	""	""	""	7	""	""
2017	12440	1	71	Bowling Green	-	TEAM	-	-	-	""	""	0	""	33	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	1	71	Bowling Green	-	Totals	-	-	-	10	18	38	48	33	""	2	""	""	""	16,200	1	0.333	11	0.917	2	""	""	""	""	11	""	""
2017	12440	1	71	Bowling Green	-	Opponent Totals	-	-	-	1	1	3	38	23	""	5	""	""	""	16,200	10	3.333	12	0.545	""	""	""	""	""	15	""	""
2017	12440	1	72	Bradley	-	TEAM	-	-	-	""	""	0	""	46	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	72	Bradley	-	Totals	-	-	-	2	2	6	24	46	""	3	""	""	""	17,400	2	0.621	10	0.833	1	""	""	""	""	12	""	""
2017	12440	1	72	Bradley	-	Opponent Totals	-	-	-	2	2	6	37	39	""	3	""	""	""	17,400	2	0.621	6	0.750	1	""	""	""	""	12	1	""
2017	12440	1	81	Bryant	-	TEAM	-	-	-	""	""	0	""	37	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	81	Bryant	-	Totals	-	-	-	1	""	2	21	37	""	6	""	""	""	16,200	5	1.667	18	0.783	""	""	""	""	""	8	""	""
2017	12440	1	81	Bryant	-	Opponent Totals	-	-	-	5	5	15	38	26	""	3	""	""	""	16,200	1	0.333	8	0.889	2	""	""	""	""	9	""	""
2017	12440	1	83	Bucknell	-	TEAM	-	-	-	""	""	0	""	9	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	1	83	Bucknell	-	Totals	-	-	-	1	1	3	24	19	""	3	""	""	""	12,000	4	1.800	9	0.692	""	""	""	""	""	5	""	""
2017	12440	1	83	Bucknell	-	Opponent Totals	-	-	-	4	4	12	30	17	""	3	""	""	""	12,000	1	0.450	10	0.909	1	""	""	""	1	14	1	""
2017	12440	1	86	Buffalo	-	TEAM	-	-	-	""	""	0	""	26	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	86	Buffalo	-	Totals	-	-	-	13	15	41	50	26	""	5	""	""	""	16,200	0	0.000	17	1.000	3	""	""	""	1	25	2	""
2017	12440	1	86	Buffalo	-	Opponent Totals	-	-	-	""	""	0	44	44	""	3	""	""	""	16,200	13	4.333	12	0.480	""	""	""	""	""	16	""	""
2017	12440	1	87	Butler	-	TEAM	-	-	-	""	""	0	""	20	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	87	Butler	-	Totals	-	-	-	4	4	12	30	20	""	2	""	""	""	12,000	2	0.900	11	0.846	1	""	""	""	""	8	""	""
2017	12440	1	87	Butler	-	Opponent Totals	-	-	-	2	1	5	30	37	""	5	""	""	""	12,000	4	1.800	11	0.733	1	""	""	""	""	15	""	""
2017	12440	1	94	CSU Bakersfield	-	TEAM	-	-	-	""	""	0	""	38	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	1	94	CSU Bakersfield	-	Totals	-	-	-	4	4	12	29	38	""	3	""	""	""	16,681	4	1.295	15	0.789	""	""	""	""	1	15	1	""
2017	12440	1	94	CSU Bakersfield	-	Opponent Totals	-	-	-	4	3	11	41	28	1	3	""	""	""	16,681	4	1.295	7	0.636	1	""	""	""	""	25	""	""
2017	12440	1	101	CSUN	-	TEAM	-	-	-	""	""	0	""	41	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	101	CSUN	-	Totals	-	-	-	4	4	12	24	41	""	3	""	""	""	16,914	4	1.277	19	0.826	""	""	""	""	""	12	""	""
2017	12440	1	101	CSUN	-	Opponent Totals	-	-	-	4	2	10	49	19	""	3	""	""	""	16,914	4	1.277	6	0.600	1	""	""	""	""	22	""	""
2017	12440	1	90	Cal Poly	-	TEAM	-	-	-	""	""	0	""	26	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	90	Cal Poly	-	Totals	-	-	-	1	1	3	18	26	""	3	""	""	""	10,800	5	2.500	9	0.643	""	""	""	""	""	4	""	""
2017	12440	1	90	Cal Poly	-	Opponent Totals	-	-	-	5	3	13	33	20	""	1	""	""	""	10,800	1	0.500	3	0.750	1	""	""	""	1	8	1	""
2017	12440	1	97	Cal St. Fullerton	-	TEAM	-	-	-	""	""	0	""	41	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2017	12440	1	97	Cal St. Fullerton	-	Totals	-	-	-	5	2	12	46	41	""	7	""	""	""	17,585	5	1.535	6	0.545	""	""	""	1	""	36	""	""
2017	12440	1	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	5	1	11	20	30	""	6	""	""	""	17,585	5	1.535	21	0.808	1	""	""	1	1	11	1	""
2017	12440	1	107	California	-	TEAM	-	-	-	""	""	0	""	29	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	107	California	-	Totals	-	-	-	5	3	13	48	29	1	5	""	""	""	17,460	5	1.546	10	0.667	""	""	""	""	""	19	""	""
2017	12440	1	107	California	-	Opponent Totals	-	-	-	5	6	16	46	39	""	7	""	""	""	17,460	5	1.546	13	0.722	""	""	""	""	1	17	1	""
2017	12440	1	115	Campbell	-	TEAM	-	-	-	""	""	0	""	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	115	Campbell	-	Totals	-	-	-	1	2	4	7	19	""	3	""	""	""	5,400	4	4.000	7	0.636	""	""	""	""	""	""	""	""
2017	12440	1	115	Campbell	-	Opponent Totals	-	-	-	4	7	15	20	8	""	1	""	""	""	5,400	1	1.000	1	0.500	""	""	""	""	""	5	""	""
2017	12440	1	116	Canisius	-	TEAM	-	-	-	""	""	0	""	31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	116	Canisius	-	Totals	-	-	-	1	2	4	29	31	""	1	""	""	""	10,800	3	1.500	7	0.700	""	""	""	""	""	10	""	""
2017	12440	1	116	Canisius	-	Opponent Totals	-	-	-	3	2	8	24	27	""	7	""	""	""	10,800	1	0.500	9	0.900	1	""	""	""	""	8	""	""
2017	12440	1	1004	Central Ark.	-	TEAM	-	-	-	""	""	0	""	41	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	1004	Central Ark.	-	Totals	-	-	-	10	9	29	58	41	""	5	""	""	""	16,200	3	1.000	7	0.700	2	""	""	""	1	16	1	""
2017	12440	1	1004	Central Ark.	-	Opponent Totals	-	-	-	3	3	9	25	32	""	5	""	""	""	16,200	10	3.333	19	0.655	""	""	""	""	""	5	""	""
2017	12440	1	127	Central Conn. St.	-	TEAM	-	-	-	""	""	0	""	18	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	127	Central Conn. St.	-	Totals	-	-	-	""	""	0	8	18	""	5	""	""	""	5,400	2	2.000	3	0.600	""	""	""	""	""	6	""	""
2017	12440	1	127	Central Conn. St.	-	Opponent Totals	-	-	-	2	1	5	15	19	""	2	""	""	""	5,400	0	0.000	2	1.000	1	""	""	""	""	8	""	""
2017	12440	1	458	Charlotte	-	TEAM	-	-	-	""	""	0	""	26	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
